Date,Weight
2/9/2020,60
2/10/2020,61
2/11/2020,62
2/12/2020,61
2/13/2020,61.5
2/14/2020,61
2/15/2020,60.5
2/16/2020,60
2/17/2020,60.3
2/18/2020,60.35
2/19/2020,60.45
2/20/2020,60.2
2/21/2020,60
2/22/2020,59.5
2/23/2020,59.6
2/24/2020,59.4
2/25/2020,59.3
2/26/2020,59.2
2/27/2020,59.1
2/28/2020,59
2/29/2020,58.9
3/1/2020,59.2
3/2/2020,58.45
3/3/2020,58.3
3/4/2020,58.25
3/5/2020,58
3/6/2020,57.7
3/7/2020,57.6
3/8/2020,57
